identifier	batch
SRR1377445	GTEx_polyA
SRR1377927	GTEx_polyA
SRR1377984	GTEx_polyA
SRR1378004	GTEx_polyA
SRR1378155	GTEx_polyA
SRR1378841	GTEx_polyA
SRR1379238	GTEx_polyA
SRR1379450	GTEx_polyA
SRR1379562	GTEx_polyA
SRR1380680	GTEx_polyA
SRR1381543	GTEx_polyA
SRR1381566	GTEx_polyA
SRR1381632	GTEx_polyA
SRR1381673	GTEx_polyA
SRR1381757	GTEx_polyA
SRR1381889	GTEx_polyA
SRR1382532	GTEx_polyA
SRR1382570	GTEx_polyA
SRR1382708	GTEx_polyA
SRR1382869	GTEx_polyA
SRR1382956	GTEx_polyA
SRR1383018	GTEx_polyA
SRR1383059	GTEx_polyA
SRR1383612	GTEx_polyA
SRR1383633	GTEx_polyA
SRR1383723	GTEx_polyA
SRR1383831	GTEx_polyA
SRR1384030	GTEx_polyA
SRR1384234	GTEx_polyA
SRR1385015	GTEx_polyA
SRR1385036	GTEx_polyA
SRR1385080	GTEx_polyA
SRR1385124	GTEx_polyA
SRR1386708	GTEx_polyA
SRR1386818	GTEx_polyA
SRR1387032	GTEx_polyA
SRR1387072	GTEx_polyA
SRR1387178	GTEx_polyA
SRR1387199	GTEx_polyA
SRR1387264	GTEx_polyA
SRR1387809	GTEx_polyA
SRR1387833	GTEx_polyA
SRR1387875	GTEx_polyA
SRR1387945	GTEx_polyA
SRR1387989	GTEx_polyA
SRR1388007	GTEx_polyA
SRR1388168	GTEx_polyA
SRR1388305	GTEx_polyA
SRR1389218	GTEx_polyA
SRR1389348	GTEx_polyA
SRR1390582	GTEx_polyA
SRR1390601	GTEx_polyA
SRR1391598	GTEx_polyA
SRR1391639	GTEx_polyA
SRR1391769	GTEx_polyA
SRR1391879	GTEx_polyA
SRR1391922	GTEx_polyA
SRR1392637	GTEx_polyA
SRR1392725	GTEx_polyA
SRR1392985	GTEx_polyA
SRR1393068	GTEx_polyA
SRR1393553	GTEx_polyA
SRR1394147	GTEx_polyA
SRR1394297	GTEx_polyA
SRR1394343	GTEx_polyA
SRR1394566	GTEx_polyA
SRR1394677	GTEx_polyA
SRR1394713	GTEx_polyA
SRR1394755	GTEx_polyA
SRR1394799	GTEx_polyA
SRR1394936	GTEx_polyA
SRR1395834	GTEx_polyA
SRR1395951	GTEx_polyA
SRR1396078	GTEx_polyA
SRR1396123	GTEx_polyA
SRR1396595	GTEx_polyA
SRR1396640	GTEx_polyA
SRR1396659	GTEx_polyA
SRR1397008	GTEx_polyA
SRR1397073	GTEx_polyA
SRR1397094	GTEx_polyA
SRR1397266	GTEx_polyA
SRR1397906	GTEx_polyA
SRR1398157	GTEx_polyA
SRR1398411	GTEx_polyA
SRR1398839	GTEx_polyA
SRR1398992	GTEx_polyA
SRR1399028	GTEx_polyA
SRR1399051	GTEx_polyA
SRR1399092	GTEx_polyA
SRR1399201	GTEx_polyA
SRR1399779	GTEx_polyA
SRR1399904	GTEx_polyA
SRR1400245	GTEx_polyA
SRR1400269	GTEx_polyA
SRR1400375	GTEx_polyA
SRR1400997	GTEx_polyA
SRR1401062	GTEx_polyA
SRR1401276	GTEx_polyA
SRR1401295	GTEx_polyA
SRR1401424	GTEx_polyA
SRR1401552	GTEx_polyA
SRR1401953	GTEx_polyA
SRR1402239	GTEx_polyA
SRR1402454	GTEx_polyA
SRR1402473	GTEx_polyA
SRR1402513	GTEx_polyA
SRR1402840	GTEx_polyA
SRR1402882	GTEx_polyA
SRR1402900	GTEx_polyA
SRR1403050	GTEx_polyA
SRR1403222	GTEx_polyA
SRR1403831	GTEx_polyA
SRR1403875	GTEx_polyA
SRR1403915	GTEx_polyA
SRR1403958	GTEx_polyA
SRR1404168	GTEx_polyA
SRR1404601	GTEx_polyA
SRR1404640	GTEx_polyA
SRR1404969	GTEx_polyA
SRR1405007	GTEx_polyA
SRR1405485	GTEx_polyA
SRR1406561	GTEx_polyA
SRR1406917	GTEx_polyA
SRR1407134	GTEx_polyA
SRR1407315	GTEx_polyA
SRR1407560	GTEx_polyA
SRR1408113	GTEx_polyA
SRR1408208	GTEx_polyA
SRR1408285	GTEx_polyA
SRR1408327	GTEx_polyA
SRR1408368	GTEx_polyA
SRR1408769	GTEx_polyA
SRR1409282	GTEx_polyA
SRR1409305	GTEx_polyA
SRR1409351	GTEx_polyA
SRR1409534	GTEx_polyA
SRR1409899	GTEx_polyA
SRR1410264	GTEx_polyA
SRR1410448	GTEx_polyA
SRR1410656	GTEx_polyA
SRR1410783	GTEx_polyA
SRR1410912	GTEx_polyA
SRR1410934	GTEx_polyA
SRR1410956	GTEx_polyA
SRR1411024	GTEx_polyA
SRR1413414	GTEx_polyA
SRR1413522	GTEx_polyA
SRR1413562	GTEx_polyA
SRR1413625	GTEx_polyA
SRR1413768	GTEx_polyA
SRR1413959	GTEx_polyA
SRR1414424	GTEx_polyA
SRR1414595	GTEx_polyA
SRR1414684	GTEx_polyA
SRR1414833	GTEx_polyA
SRR1414897	GTEx_polyA
SRR1415095	GTEx_polyA
SRR1415234	GTEx_polyA
SRR1415337	GTEx_polyA
SRR1415732	GTEx_polyA
SRR1415832	GTEx_polyA
SRR1415895	GTEx_polyA
SRR1416096	GTEx_polyA
SRR1416410	GTEx_polyA
SRR1416434	GTEx_polyA
SRR1416477	GTEx_polyA
SRR1416754	GTEx_polyA
SRR1416889	GTEx_polyA
SRR1416999	GTEx_polyA
SRR1417047	GTEx_polyA
SRR1417070	GTEx_polyA
SRR1417111	GTEx_polyA
SRR1417202	GTEx_polyA
SRR1417505	GTEx_polyA
SRR1417827	GTEx_polyA
SRR1417912	GTEx_polyA
SRR1417981	GTEx_polyA
SRR1418127	GTEx_polyA
SRR1418283	GTEx_polyA
SRR1418604	GTEx_polyA
SRR1418818	GTEx_polyA
SRR1418837	GTEx_polyA
SRR1418923	GTEx_polyA
SRR1418992	GTEx_polyA
SRR1419148	GTEx_polyA
SRR1419187	GTEx_polyA
SRR1419675	GTEx_polyA
SRR1419714	GTEx_polyA
SRR1419893	GTEx_polyA
SRR1420215	GTEx_polyA
SRR1420493	GTEx_polyA
SRR1420625	GTEx_polyA
SRR1420891	GTEx_polyA
SRR1420984	GTEx_polyA
SRR1421093	GTEx_polyA
SRR1421140	GTEx_polyA
SRR1421177	GTEx_polyA
SRR1421198	GTEx_polyA
SRR1421305	GTEx_polyA
SRR1421351	GTEx_polyA
SRR1421375	GTEx_polyA
SRR1429162	GTEx_polyA
SRR1429244	GTEx_polyA
SRR1429307	GTEx_polyA
SRR1429329	GTEx_polyA
SRR1429641	GTEx_polyA
SRR1429725	GTEx_polyA
SRR1429891	GTEx_polyA
